TS = 17426603, TJ = 9049211
TS = 17900817, TJ = 2406478
TS = 16727098, TJ = 1666238
TS = 19840740, TJ = 3314597
TS = 16041031, TJ = 706286
TS = 18938218, TJ = 1787758
TS = 18697766, TJ = 1917863
TS = 16661282, TJ = 2441374
TS = 17504427, TJ = 3076685
TS = 18431948, TJ = 2389714
TS = 17478348, TJ = 7330262
TS = 47129642, TJ = 640691
TS = 45643843, TJ = 715876
TS = 47264656, TJ = 1557650
TS = 47143142, TJ = 1706671
TS = 53256066, TJ = 44091871
TS = 47636799, TJ = 871447
TS = 49375550, TJ = 987494
TS = 48414779, TJ = 1385778
TS = 2705074, TJ = 2630823
TS = 14208907, TJ = 234767
TS = 18604940, TJ = 968484
TS = 16124396, TJ = 1424824
TS = 18121742, TJ = 1540451
TS = 19356633, TJ = 1659361
TS = 17248479, TJ = 1997591
TS = 18835136, TJ = 5279053
TS = 18337256, TJ = 9311300
TS = 18329223, TJ = 4704565
TS = 16613567, TJ = 314456
TS = 12716740, TJ = 1352555
TS = 12579028, TJ = 6724064
TS = 13784968, TJ = 3704903
TS = 14541392, TJ = 1852445
TS = 15355527, TJ = 4249742
TS = 18417506, TJ = 4879260
TS = 20089057, TJ = 3346113
TS = 105467039, TJ = 36346341
TS = 105383012, TJ = 35125856
TS = 107249258, TJ = 35176936
TS = 101890683, TJ = 37462498
TS = 106925334, TJ = 35395726
TS = 107293048, TJ = 35605224
TS = 101984129, TJ = 37497016
TS = 36806501, TJ = 36721145
TS = 3058771, TJ = 2926097
TS = 4008133, TJ = 991207
TS = 11425148, TJ = 612618
TS = 13792798, TJ = 1353078
TS = 14127528, TJ = 1099058
TS = 13998731, TJ = 1408005
TS = 13745348, TJ = 1540712
TS = 12811096, TJ = 7530799
TS = 14748890, TJ = 4841490
TS = 58571986, TJ = 587484
TS = 62243936, TJ = 1798596
TS = 59851237, TJ = 1926272
TS = 60485798, TJ = 2053346
TS = 63352102, TJ = 2192074
TS = 63035889, TJ = 2449941
TS = 62402993, TJ = 7741798
TS = 13713006, TJ = 3401804
TS = 2049630, TJ = 1989274
TS = 1894757, TJ = 1847253
TS = 38039164, TJ = 19362460
TS = 43578646, TJ = 21858511
TS = 44118714, TJ = 17033403
TS = 43507766, TJ = 16996462
TS = 45173052, TJ = 17149398
TS = 46038000, TJ = 17871939
TS = 65898503, TJ = 3627809
TS = 104275466, TJ = 4238846
TS = 66796810, TJ = 5068068
