TS = 198604225, TJ = 25887616
TS = 10738644, TJ = 5087777
TS = 40360064, TJ = 33101697
TS = 9855109, TJ = 4655997
TS = 3932725, TJ = 1280557
TS = 7321900, TJ = 4611193
TS = 10236093, TJ = 2442464
TS = 7405527, TJ = 4260252
TS = 3719752, TJ = 1321041
TS = 10815417, TJ = 4614849
TS = 4859507, TJ = 2020270
TS = 3852577, TJ = 1381761
TS = 38714619, TJ = 36013732
TS = 5458358, TJ = 2654642
TS = 39620192, TJ = 37166164
TS = 9809162, TJ = 4022869
TS = 7699689, TJ = 1293449
TS = 35088020, TJ = 32398384
TS = 5965665, TJ = 1561193
TS = 386293307, TJ = 34808207
TS = 33609796, TJ = 30744056
TS = 5611632, TJ = 1238237
TS = 26005228, TJ = 23212083
TS = 4378208, TJ = 1371146
TS = 5043407, TJ = 2077856
TS = 34346293, TJ = 32015546
TS = 3571277, TJ = 1168871
TS = 3304381, TJ = 1171930
TS = 3144367, TJ = 1067597
TS = 3102441, TJ = 1037120
TS = 3570276, TJ = 1159227
TS = 3496348, TJ = 1058194
TS = 3075909, TJ = 1076065
TS = 7634253, TJ = 1115588
TS = 3477016, TJ = 1169652
TS = 2864281, TJ = 1035719
TS = 3135998, TJ = 1250354
TS = 3587654, TJ = 1227729
TS = 3418931, TJ = 1136850
TS = 5759191, TJ = 1163180
TS = 4612212, TJ = 2156368
TS = 3658444, TJ = 1219907
TS = 2982792, TJ = 1150078
TS = 3102375, TJ = 1084648
TS = 3128729, TJ = 1135320
TS = 3537384, TJ = 1002033
TS = 3963391, TJ = 1913848
TS = 33479072, TJ = 31279680
TS = 7368230, TJ = 1177709
TS = 5046051, TJ = 1055911
TS = 3281323, TJ = 1183710
TS = 7178010, TJ = 2623119
TS = 3237354, TJ = 1083062
TS = 3607234, TJ = 1414518
TS = 3327069, TJ = 1141543
TS = 3685468, TJ = 1177898
TS = 4263628, TJ = 2269245
TS = 3206510, TJ = 1102758
TS = 3221769, TJ = 1151910
TS = 2728401, TJ = 936215
TS = 2888771, TJ = 1045085
TS = 3347878, TJ = 1005803
TS = 3120342, TJ = 1063437
TS = 31205578, TJ = 28731843
TS = 5742236, TJ = 2497362
TS = 4989038, TJ = 1233057
TS = 3523353, TJ = 1225089
TS = 3542545, TJ = 1232156
TS = 7652404, TJ = 5547207
TS = 31767312, TJ = 28783539
TS = 4267313, TJ = 2015389
TS = 405331938, TJ = 116046847
TS = 3820859, TJ = 1302571
TS = 3425697, TJ = 1244073
TS = 316897798, TJ = 26939461
TS = 4106393, TJ = 1776918
TS = 2833979, TJ = 1049101
TS = 3407108, TJ = 1389881
TS = 32146413, TJ = 28408757
TS = 31800717, TJ = 29648481
TS = 5517649, TJ = 1224364
TS = 2807190, TJ = 988662
TS = 3300514, TJ = 1009955
TS = 2680246, TJ = 995261
TS = 3038111, TJ = 1059065
TS = 3187515, TJ = 1125862
TS = 3161619, TJ = 1178305
TS = 2968489, TJ = 1042670
TS = 3461778, TJ = 1287944
TS = 3313350, TJ = 1136141
TS = 2871492, TJ = 989511
TS = 2822989, TJ = 1025423
TS = 4924558, TJ = 2768282
TS = 2887097, TJ = 1053279
TS = 2899990, TJ = 1074664
TS = 3090869, TJ = 1087115
TS = 3229035, TJ = 1158830
TS = 2809537, TJ = 1039415
TS = 2653223, TJ = 1053040
TS = 3179727, TJ = 1133306
TS = 2926906, TJ = 1023626
TS = 3830342, TJ = 1131415
TS = 3149174, TJ = 1227792
TS = 2624138, TJ = 913190
TS = 285383606, TJ = 27714103
TS = 4974048, TJ = 1004091
TS = 2971398, TJ = 940781
TS = 2653115, TJ = 959027
TS = 31678846, TJ = 29799256
TS = 8054814, TJ = 6060439
TS = 5762013, TJ = 1210322
TS = 3210097, TJ = 1116999
TS = 2699525, TJ = 934563
TS = 3002076, TJ = 1015848
TS = 3362982, TJ = 1142112
TS = 2844970, TJ = 954503
TS = 40439055, TJ = 38520233
TS = 4015826, TJ = 1094049
TS = 2603247, TJ = 983506
TS = 3490150, TJ = 1346535
TS = 3024101, TJ = 1142765
TS = 2648625, TJ = 999727
TS = 2796032, TJ = 1035149
TS = 596394013, TJ = 30672732
TS = 30677791, TJ = 28283101
TS = 6790390, TJ = 1133228
TS = 3257279, TJ = 1088036
TS = 2832820, TJ = 1044887
TS = 3464018, TJ = 1297097
TS = 3103496, TJ = 1110750
TS = 3945956, TJ = 2287956
TS = 21350092, TJ = 1132226
TS = 3168532, TJ = 1091966
TS = 3941330, TJ = 1117250
TS = 2861098, TJ = 1082729
TS = 47407577, TJ = 43371939
TS = 5028750, TJ = 3100110
TS = 2692052, TJ = 997193
TS = 2504259, TJ = 870945
TS = 2548334, TJ = 872202
TS = 2421765, TJ = 913709
TS = 2666082, TJ = 890826
TS = 2763645, TJ = 1021856
TS = 3028183, TJ = 1066318
TS = 2827068, TJ = 1005978
TS = 4769460, TJ = 976996
TS = 2757029, TJ = 952147
TS = 2515156, TJ = 935891
TS = 2847570, TJ = 1009049
TS = 3863405, TJ = 1123204
TS = 3007674, TJ = 1078902
TS = 291984252, TJ = 30522952
TS = 3129190, TJ = 1049861
TS = 2469187, TJ = 930918
TS = 30262242, TJ = 28655952
TS = 56920275, TJ = 27385583
TS = 4297125, TJ = 1114668
TS = 3489053, TJ = 1428066
TS = 3179741, TJ = 1058371
TS = 2670350, TJ = 966329
TS = 32019031, TJ = 30284349
TS = 31433133, TJ = 28993363
TS = 30243383, TJ = 27897643
TS = 2903901, TJ = 1003738
TS = 2825570, TJ = 1010956
TS = 3858631, TJ = 935982
TS = 2675560, TJ = 1002574
TS = 2953491, TJ = 1001449
TS = 3169074, TJ = 1188496
TS = 3489213, TJ = 1874079
TS = 3616445, TJ = 1965170
TS = 62577840, TJ = 30944094
TS = 4569330, TJ = 2533865
TS = 4742883, TJ = 1972252
TS = 3251615, TJ = 1053799
TS = 2865150, TJ = 1015318
TS = 3657797, TJ = 956787
TS = 4399367, TJ = 1564727
TS = 2611997, TJ = 942632
TS = 2441806, TJ = 941201
TS = 2759512, TJ = 964985
TS = 2917672, TJ = 1318842
TS = 2630015, TJ = 1043310
TS = 6012545, TJ = 4274984
TS = 2858994, TJ = 991212
TS = 2514765, TJ = 951449
TS = 4500493, TJ = 1057630
TS = 2711477, TJ = 949535
TS = 2568486, TJ = 1000467
TS = 33812852, TJ = 31788029
TS = 33714151, TJ = 29611018
TS = 4721819, TJ = 1943185
TS = 3758355, TJ = 979132
TS = 3518309, TJ = 938056
TS = 29455586, TJ = 27798073
TS = 59917961, TJ = 29015080
TS = 2642825, TJ = 915661
TS = 61757099, TJ = 30407066
TS = 2819435, TJ = 944799
TS = 3417140, TJ = 1018904
TS = 3113397, TJ = 1257641
TS = 2483547, TJ = 922663
TS = 2892949, TJ = 1049641
TS = 2695375, TJ = 936398
TS = 30032607, TJ = 28111073
TS = 3226784, TJ = 1053185
TS = 2654921, TJ = 989018
TS = 3985688, TJ = 999599
TS = 2903864, TJ = 1005309
TS = 2756951, TJ = 1084379
TS = 2931922, TJ = 946246
TS = 2639077, TJ = 900755
TS = 2858788, TJ = 909708
TS = 2426559, TJ = 885127
TS = 2561313, TJ = 1013572
TS = 2954393, TJ = 1008120
TS = 2593529, TJ = 916250
TS = 2321049, TJ = 819686
TS = 2839635, TJ = 1005894
TS = 2840940, TJ = 1085167
TS = 3009762, TJ = 987255
TS = 3183775, TJ = 908337
TS = 2637766, TJ = 1000135
TS = 3603476, TJ = 989089
TS = 80213604, TJ = 26744747
TS = 2865634, TJ = 1035913
TS = 2861112, TJ = 838647
TS = 6088998, TJ = 4581686
TS = 56248018, TJ = 54631499
TS = 36523020, TJ = 34059236
TS = 294728621, TJ = 27404065
TS = 3787311, TJ = 1246726
TS = 4387674, TJ = 970409
TS = 31058340, TJ = 29231237
TS = 5710689, TJ = 1015575
TS = 2729293, TJ = 929451
TS = 2389518, TJ = 866870
TS = 30249920, TJ = 28615348
TS = 53575260, TJ = 47282180
TS = 3854275, TJ = 973726
TS = 6552768, TJ = 4020836
TS = 3462600, TJ = 865533
TS = 49596188, TJ = 47682742
TS = 3266972, TJ = 1116364
TS = 98606585, TJ = 32592769
TS = 3815593, TJ = 1785235
TS = 30089729, TJ = 27500900
TS = 5735373, TJ = 2915547
TS = 2824705, TJ = 984767
TS = 2479851, TJ = 884429
TS = 2375050, TJ = 853816
TS = 2842752, TJ = 992958
TS = 2393302, TJ = 837874
TS = 2817734, TJ = 970862
TS = 2614328, TJ = 885970
TS = 115768858, TJ = 29625024
TS = 3402580, TJ = 1304993
TS = 130474255, TJ = 31167684
TS = 2609456, TJ = 881336
TS = 2892029, TJ = 979955
TS = 2979554, TJ = 1031290
TS = 3087686, TJ = 1066960
TS = 2885669, TJ = 953341
TS = 29529035, TJ = 27817914
TS = 2927318, TJ = 1039854
TS = 29138355, TJ = 27236894
TS = 2597771, TJ = 906611
TS = 4045996, TJ = 936003
TS = 30463908, TJ = 28007329
TS = 9974339, TJ = 7789009
TS = 2739831, TJ = 997763
TS = 30270675, TJ = 28309311
TS = 2602490, TJ = 888215
TS = 3136137, TJ = 935615
TS = 2587486, TJ = 936974
TS = 3625420, TJ = 1012937
TS = 2640375, TJ = 917571
TS = 2734091, TJ = 1012977
TS = 2479257, TJ = 872390
TS = 2673725, TJ = 987601
TS = 2596632, TJ = 931154
TS = 2541796, TJ = 873842
TS = 2418442, TJ = 885511
TS = 2879604, TJ = 938765
TS = 31607789, TJ = 29704944
TS = 2624798, TJ = 947663
TS = 2831262, TJ = 891899
TS = 2738120, TJ = 1042272
TS = 2625287, TJ = 973546
TS = 2796312, TJ = 947216
TS = 2620780, TJ = 924483
TS = 2671009, TJ = 898489
TS = 3402893, TJ = 1786818
TS = 2683591, TJ = 991966
TS = 2339976, TJ = 861852
TS = 2382071, TJ = 855737
TS = 3024860, TJ = 1080522
TS = 2847810, TJ = 1094967
TS = 2534505, TJ = 952470
TS = 2332899, TJ = 802067
TS = 2509074, TJ = 994449
TS = 2757157, TJ = 962260
TS = 29239731, TJ = 27769499
TS = 3782288, TJ = 2062236
TS = 3202948, TJ = 1106995
TS = 2487964, TJ = 882472
TS = 2343802, TJ = 904027
TS = 3173767, TJ = 1716975
TS = 2915470, TJ = 982198
TS = 30220571, TJ = 28725376
TS = 2832171, TJ = 1067862
TS = 29893918, TJ = 28120940
TS = 4173762, TJ = 1005958
TS = 30103744, TJ = 28429826
TS = 2892184, TJ = 970768
TS = 29471250, TJ = 27819614
TS = 2856535, TJ = 990389
TS = 4811059, TJ = 1475089
TS = 31155578, TJ = 29209212
TS = 2761608, TJ = 942371
TS = 2313749, TJ = 875655
TS = 2564428, TJ = 974271
TS = 30174223, TJ = 28162764
TS = 4123471, TJ = 1137553
TS = 2856678, TJ = 1035147
TS = 2684827, TJ = 948286
TS = 2931044, TJ = 1042621
TS = 33800342, TJ = 2981168
TS = 4264398, TJ = 2358126
TS = 2469972, TJ = 921354
