TS = 2073612, TJ = 1961485
TS = 1785764, TJ = 1725737
TS = 1397658, TJ = 1359806
TS = 1430398, TJ = 1395055
TS = 1529528, TJ = 1440766
TS = 1442481, TJ = 1403364
TS = 1483679, TJ = 1421317
TS = 1238992, TJ = 1192548
TS = 1382272, TJ = 1317879
TS = 1294667, TJ = 1258976
TS = 1294236, TJ = 1261814
TS = 27499830, TJ = 8065018
TS = 1586866, TJ = 1339054
TS = 2429988, TJ = 1118906
TS = 99966897, TJ = 7372244
TS = 100293152, TJ = 26554368
TS = 2825161, TJ = 1917509
TS = 1416660, TJ = 1364600
TS = 9306122, TJ = 2333107
TS = 3540783, TJ = 834000
TS = 1386415, TJ = 1349123
TS = 36531344, TJ = 3494718
TS = 1631270, TJ = 1181965
TS = 2292633, TJ = 1134026
TS = 1209088, TJ = 1162122
TS = 1553989, TJ = 1313712
TS = 2494676, TJ = 1217450
TS = 1875568, TJ = 1348723
TS = 2874393, TJ = 1331259
TS = 1836397, TJ = 1559804
TS = 2286906, TJ = 819539
TS = 1291432, TJ = 1259228
TS = 1287904, TJ = 1253710
TS = 2284162, TJ = 1862501
TS = 2680716, TJ = 725829
TS = 1352666, TJ = 1318802
TS = 1316119, TJ = 1279336
TS = 1324198, TJ = 1289267
TS = 5307029, TJ = 2819321
TS = 1443980, TJ = 1406174
TS = 1325004, TJ = 1287761
TS = 1435289, TJ = 1401173
TS = 1414688, TJ = 987826
TS = 6128812, TJ = 1209258
TS = 4311704, TJ = 1726236
TS = 1294216, TJ = 1260486
TS = 2192188, TJ = 1648267
TS = 2437255, TJ = 818293
TS = 1353020, TJ = 1317418
TS = 34650503, TJ = 829755
TS = 50185594, TJ = 22059158
TS = 6135694, TJ = 1930902
TS = 15007518, TJ = 1117059
TS = 13868526, TJ = 825729
TS = 14261906, TJ = 1202336
TS = 35962785, TJ = 4950959
TS = 1832092, TJ = 1792787
TS = 2730788, TJ = 2071904
TS = 3647205, TJ = 1992488
TS = 8347721, TJ = 5195729
TS = 9300963, TJ = 2697679
TS = 3871495, TJ = 778877
TS = 3419286, TJ = 3387825
TS = 2063843, TJ = 708759
TS = 1409607, TJ = 1377825
TS = 1334566, TJ = 1301608
TS = 4585677, TJ = 1829139
TS = 2410652, TJ = 708264
TS = 2440600, TJ = 829736
TS = 109694277, TJ = 20881879
TS = 1386807, TJ = 1354513
TS = 2109692, TJ = 1650413
TS = 1688391, TJ = 1450941
TS = 1670086, TJ = 1435849
TS = 1800626, TJ = 1514530
TS = 4269350, TJ = 4006499
TS = 1693670, TJ = 838836
TS = 3874258, TJ = 714582
TS = 10024029, TJ = 6421132
TS = 11040859, TJ = 1827693
TS = 17555465, TJ = 383373
TS = 14126558, TJ = 1144869
TS = 6569406, TJ = 1372775
TS = 1872033, TJ = 524757
TS = 2733672, TJ = 646514
TS = 11994318, TJ = 634713
TS = 11689969, TJ = 8130621
TS = 11931637, TJ = 1098358
TS = 1876042, TJ = 534777
TS = 8210437, TJ = 6977223
TS = 43102335, TJ = 1355864
TS = 52697493, TJ = 8856972
TS = 29455073, TJ = 1698255
TS = 1681767, TJ = 1629776
TS = 2682749, TJ = 768580
TS = 5879349, TJ = 648902
TS = 5592579, TJ = 1187235
TS = 1348744, TJ = 1313021
TS = 3115890, TJ = 665764
TS = 32991733, TJ = 27787237
TS = 7652606, TJ = 6278018
TS = 3991915, TJ = 2834289
TS = 1310521, TJ = 1276208
TS = 1881639, TJ = 1578691
TS = 2811716, TJ = 2161812
TS = 1748604, TJ = 1489469
TS = 1792275, TJ = 1549110
TS = 2593348, TJ = 1915043
TS = 42491163, TJ = 11840561
TS = 2814492, TJ = 2177160
TS = 44269385, TJ = 10991311
TS = 2544133, TJ = 1867558
TS = 39823689, TJ = 8196185
TS = 28738663, TJ = 26182833
TS = 1517195, TJ = 1479228
TS = 1777830, TJ = 1521094
TS = 1340666, TJ = 1304558
TS = 36085081, TJ = 7031140
TS = 1462010, TJ = 1428924
TS = 65285704, TJ = 17846347
TS = 34240915, TJ = 17258371
TS = 5118643, TJ = 1674284
TS = 2982619, TJ = 714588
TS = 8152504, TJ = 1972341
TS = 4714148, TJ = 1494618
TS = 10062350, TJ = 1217777
TS = 3034840, TJ = 1495320
TS = 2789699, TJ = 1368903
TS = 4056966, TJ = 1101473
TS = 5039389, TJ = 711755
TS = 2420496, TJ = 584504
TS = 8681576, TJ = 708840
TS = 2491915, TJ = 924987
TS = 8847501, TJ = 6624474
TS = 1482502, TJ = 1237861
TS = 1498335, TJ = 1199697
TS = 1251681, TJ = 1208433
TS = 7762672, TJ = 6451725
TS = 1364119, TJ = 1323941
TS = 117747485, TJ = 1956956
TS = 1348785, TJ = 1313315
TS = 1399532, TJ = 1362419
TS = 1559390, TJ = 1301570
TS = 2606891, TJ = 1337027
TS = 2730423, TJ = 635994
TS = 3036415, TJ = 718263
TS = 1949754, TJ = 1411565
TS = 1295298, TJ = 1259398
TS = 1502731, TJ = 1236398
TS = 13106318, TJ = 1100520
TS = 12939148, TJ = 1146431
TS = 1319621, TJ = 1286350
TS = 1377975, TJ = 1344836
TS = 1338044, TJ = 1304187
TS = 1879799, TJ = 552239
TS = 5830358, TJ = 1869653
TS = 1301470, TJ = 1256197
TS = 18761364, TJ = 4248708
TS = 6927473, TJ = 868411
TS = 14790769, TJ = 652590
TS = 3207004, TJ = 3171423
TS = 2674197, TJ = 2357842
TS = 1556028, TJ = 1293962
TS = 13279698, TJ = 2989979
TS = 1761775, TJ = 1424856
TS = 17525458, TJ = 1348120
TS = 8883973, TJ = 4412207
TS = 15998814, TJ = 11620080
TS = 1315553, TJ = 1275287
TS = 1373536, TJ = 1336018
TS = 69656260, TJ = 9310445
TS = 60603298, TJ = 866685
TS = 3535341, TJ = 1080791
TS = 3132524, TJ = 1824617
TS = 33486990, TJ = 6629631
TS = 3948642, TJ = 3300194
TS = 2350065, TJ = 1843318
TS = 32454567, TJ = 8251120
TS = 4814417, TJ = 1560658
TS = 1298278, TJ = 1254828
TS = 1300263, TJ = 1255979
TS = 1334519, TJ = 1300907
TS = 4537030, TJ = 1826058
TS = 1328373, TJ = 1295112
TS = 33609072, TJ = 10759707
TS = 4659506, TJ = 3179511
TS = 32402969, TJ = 13790199
TS = 2477012, TJ = 1967163
TS = 3217246, TJ = 2416320
TS = 33526244, TJ = 8775060
TS = 36091043, TJ = 9538692
TS = 32138147, TJ = 11226290
TS = 1305267, TJ = 1270732
TS = 1896788, TJ = 1644556
TS = 1791907, TJ = 1510243
TS = 1901217, TJ = 1636674
TS = 35837080, TJ = 6114201
TS = 1456624, TJ = 1423108
TS = 2369001, TJ = 1931112
TS = 2747426, TJ = 2116500
TS = 50134837, TJ = 8918275
TS = 1524993, TJ = 1484628
TS = 1443616, TJ = 1406237
TS = 1343223, TJ = 1296159
TS = 36629094, TJ = 7046365
TS = 1310728, TJ = 1277574
TS = 36657414, TJ = 6074220
TS = 2433891, TJ = 1927476
TS = 17483329, TJ = 768639
TS = 17460564, TJ = 2859337
TS = 3331457, TJ = 2009125
TS = 1232196, TJ = 1196163
TS = 5247573, TJ = 814130
TS = 7616757, TJ = 840719
TS = 2307505, TJ = 1421025
TS = 2056801, TJ = 1423800
TS = 39992419, TJ = 15794466
TS = 84783603, TJ = 9620779
TS = 1936087, TJ = 1525996
TS = 3132443, TJ = 1693960
TS = 1470010, TJ = 1431496
TS = 14959784, TJ = 2750614
TS = 16018411, TJ = 2189413
TS = 1339274, TJ = 1302856
TS = 12543188, TJ = 1027224
TS = 12183756, TJ = 1659471
TS = 12449630, TJ = 1481360
TS = 4808647, TJ = 1279562
TS = 4109453, TJ = 4077594
TS = 2478789, TJ = 1549813
TS = 1376632, TJ = 1336104
TS = 1516568, TJ = 1469942
TS = 58889014, TJ = 5359516
TS = 60589468, TJ = 8393756
TS = 162040914, TJ = 18770912
TS = 1321798, TJ = 1287325
TS = 1607730, TJ = 1348554
TS = 2529081, TJ = 1217834
TS = 10163212, TJ = 5177349
TS = 1277958, TJ = 1239896
TS = 1909573, TJ = 1625295
TS = 2942000, TJ = 2219449
TS = 1334004, TJ = 1288128
TS = 191658372, TJ = 7019148
TS = 2963486, TJ = 2214929
TS = 2733860, TJ = 2025494
TS = 2201769, TJ = 1777061
TS = 4400207, TJ = 1879347
TS = 1344588, TJ = 1312614
TS = 1895544, TJ = 1164290
TS = 3881849, TJ = 914620
TS = 34622119, TJ = 23701233
TS = 1432035, TJ = 1397591
TS = 31317579, TJ = 12946639
TS = 5263003, TJ = 3515388
TS = 1926361, TJ = 1670534
TS = 3456559, TJ = 1362342
TS = 2644904, TJ = 1417366
TS = 1898533, TJ = 1694076
TS = 1497066, TJ = 1455750
TS = 3789470, TJ = 1747083
TS = 6240463, TJ = 884708
TS = 25712620, TJ = 786539
TS = 8703439, TJ = 2762745
TS = 18121001, TJ = 1667357
TS = 17720604, TJ = 1438858
TS = 18288744, TJ = 1001529
TS = 2936839, TJ = 1746679
TS = 13422573, TJ = 1604430
TS = 1456563, TJ = 1417973
TS = 69064202, TJ = 2393377
TS = 41379969, TJ = 19757996
TS = 3442493, TJ = 670880
TS = 7398202, TJ = 1139251
TS = 6895259, TJ = 2235099
TS = 7378917, TJ = 492229
TS = 1960578, TJ = 1447805
TS = 4054877, TJ = 2025042
TS = 1315947, TJ = 1279519
TS = 11257405, TJ = 1361166
TS = 37800751, TJ = 985393
TS = 28293966, TJ = 1157272
TS = 1449427, TJ = 1391089
TS = 3597842, TJ = 838880
TS = 11046712, TJ = 2007447
TS = 10920836, TJ = 752576
TS = 11487866, TJ = 1830820
TS = 1225620, TJ = 1190738
TS = 1448256, TJ = 1402789
TS = 1435631, TJ = 1382191
TS = 2868720, TJ = 2051030
TS = 5905297, TJ = 3521074
TS = 2084177, TJ = 1623940
TS = 3092784, TJ = 1305686
TS = 10898508, TJ = 714136
TS = 1764682, TJ = 1472662
TS = 1222374, TJ = 1189096
TS = 2277798, TJ = 1826990
TS = 60247667, TJ = 15143170
TS = 2554936, TJ = 2060673
TS = 1179498, TJ = 1145086
TS = 1654532, TJ = 1434107
TS = 31830134, TJ = 20371953
TS = 2043250, TJ = 1745994
TS = 3687198, TJ = 2609619
TS = 37629646, TJ = 23114474
TS = 1902702, TJ = 1636119
TS = 2741093, TJ = 2078398
TS = 2820775, TJ = 1856115
TS = 1843804, TJ = 1517811
TS = 32391245, TJ = 22396783
TS = 3843938, TJ = 2777201
TS = 34246204, TJ = 4597659
TS = 2829358, TJ = 2182869
TS = 3655449, TJ = 3001968
TS = 2308443, TJ = 1830889
TS = 124315425, TJ = 13426013
TS = 5821992, TJ = 4037160
TS = 3674354, TJ = 1352632
TS = 59676130, TJ = 25105259
TS = 2487862, TJ = 2027574
TS = 3600725, TJ = 2538060
TS = 2288032, TJ = 1859085
TS = 1372868, TJ = 1340289
TS = 3458961, TJ = 1714950
TS = 1375328, TJ = 1342167
TS = 6846449, TJ = 1773669
TS = 9239117, TJ = 1366991
TS = 10899538, TJ = 663555
TS = 7271013, TJ = 1260773
TS = 7241593, TJ = 3634650
TS = 3467244, TJ = 971332
TS = 2565858, TJ = 884228
TS = 3343872, TJ = 721795
TS = 1597781, TJ = 1565061
TS = 68942257, TJ = 1753109
TS = 61938713, TJ = 1241009
TS = 3007682, TJ = 1067284
TS = 4525916, TJ = 587056
TS = 9309154, TJ = 1052060
TS = 3124808, TJ = 1703714
TS = 10230594, TJ = 1490440
TS = 1877813, TJ = 1529669
TS = 1947513, TJ = 1615994
TS = 1833680, TJ = 1518702
TS = 1833557, TJ = 1563837
TS = 1723963, TJ = 1476552
TS = 100973567, TJ = 24648842
TS = 101230884, TJ = 24742348
TS = 2683049, TJ = 2050292
TS = 1549231, TJ = 1487291
TS = 2286580, TJ = 1785956
TS = 35345150, TJ = 15211323
TS = 32964484, TJ = 10208143
TS = 4754490, TJ = 3213794
TS = 1789814, TJ = 1572941
TS = 3437514, TJ = 1636638
TS = 1864443, TJ = 1514252
TS = 1361151, TJ = 1327168
TS = 1226614, TJ = 1195088
TS = 3876079, TJ = 1633958
TS = 1852668, TJ = 1483313
TS = 32318610, TJ = 12589957
TS = 2378613, TJ = 1868901
TS = 3432429, TJ = 2614093
TS = 1341451, TJ = 1295998
TS = 2112647, TJ = 1667058
TS = 4434587, TJ = 2375040
TS = 32627229, TJ = 13887268
TS = 5391616, TJ = 3499773
TS = 5420993, TJ = 2126517
TS = 1541698, TJ = 1508151
TS = 6626241, TJ = 2301535
TS = 1521181, TJ = 1478306
TS = 4722919, TJ = 1473901
TS = 1444855, TJ = 1411831
TS = 32641598, TJ = 12724331
TS = 1365302, TJ = 1331614
TS = 4243439, TJ = 2952602
TS = 1374234, TJ = 1341880
TS = 1892593, TJ = 1648398
TS = 4291549, TJ = 2091411
TS = 1363501, TJ = 1330187
TS = 1385355, TJ = 1351531
TS = 1441415, TJ = 1380797
TS = 5650380, TJ = 2093975
TS = 1888437, TJ = 1521544
TS = 36154355, TJ = 11619347
TS = 2453042, TJ = 1952039
TS = 35518449, TJ = 9731488
TS = 34261305, TJ = 8316159
TS = 3869842, TJ = 2886788
TS = 1359948, TJ = 1298717
TS = 1649750, TJ = 1584157
TS = 1450549, TJ = 1403804
TS = 1218283, TJ = 1184827
TS = 2832748, TJ = 2141282
TS = 38043411, TJ = 10837051
TS = 7603144, TJ = 1697352
TS = 3524733, TJ = 557297
TS = 2012424, TJ = 828544
TS = 11096442, TJ = 3720452
TS = 7510011, TJ = 801018
TS = 10610882, TJ = 4448367
TS = 1317676, TJ = 1285233
TS = 1442447, TJ = 1405915
TS = 16301456, TJ = 680762
TS = 16149874, TJ = 1091695
TS = 13764269, TJ = 734273
TS = 47957874, TJ = 11616511
TS = 61482100, TJ = 31466242
TS = 5187002, TJ = 3464162
TS = 11464818, TJ = 1123428
TS = 17072011, TJ = 5200829
TS = 1547695, TJ = 1501224
TS = 1345757, TJ = 1310272
TS = 2979181, TJ = 614708
TS = 1336709, TJ = 1302495
TS = 43326192, TJ = 5282050
TS = 43610433, TJ = 5460246
TS = 43908017, TJ = 5796142
TS = 1295318, TJ = 1260114
TS = 1240043, TJ = 1205361
TS = 2074662, TJ = 1408608
TS = 3086397, TJ = 1325987
TS = 2008561, TJ = 1361332
TS = 4482750, TJ = 4449709
TS = 11450421, TJ = 1159876
TS = 1227632, TJ = 1194798
TS = 2218805, TJ = 1552283
TS = 10670432, TJ = 945559
TS = 4273789, TJ = 4235238
TS = 1849541, TJ = 586797
TS = 1277455, TJ = 1244304
TS = 1267003, TJ = 1234486
TS = 2330929, TJ = 1472824
TS = 6742938, TJ = 1770235
TS = 10203748, TJ = 3326330
TS = 1984844, TJ = 694656
TS = 1870197, TJ = 1602798
TS = 48898902, TJ = 16925873
TS = 1835527, TJ = 1565991
TS = 1858544, TJ = 1578108
TS = 2866945, TJ = 2212922
TS = 1255247, TJ = 1221738
TS = 1674252, TJ = 1416086
TS = 2108320, TJ = 1684292
TS = 1928231, TJ = 1675881
TS = 34912910, TJ = 11294030
TS = 1409697, TJ = 1374915
TS = 5050431, TJ = 2614362
TS = 1331226, TJ = 1300376
TS = 1311572, TJ = 1277522
TS = 4084066, TJ = 957903
TS = 45441041, TJ = 2843171
TS = 3626551, TJ = 2424727
TS = 3311554, TJ = 2211265
TS = 2504567, TJ = 1820247
TS = 4079972, TJ = 2433108
TS = 2611325, TJ = 1891503
TS = 4194900, TJ = 2401921
TS = 59554230, TJ = 4703895
TS = 1622435, TJ = 1574137
TS = 3377595, TJ = 2118363
TS = 2238897, TJ = 1593017
TS = 1396544, TJ = 1361323
TS = 1371593, TJ = 1338453
TS = 5113602, TJ = 1414577
TS = 1437842, TJ = 1404800
TS = 2577677, TJ = 1782708
TS = 3754584, TJ = 2172422
TS = 2246554, TJ = 2215104
TS = 2383857, TJ = 1772928
TS = 2281785, TJ = 2223206
TS = 3159836, TJ = 1984829
TS = 1307001, TJ = 1274326
TS = 2478043, TJ = 1819418
TS = 5764424, TJ = 2245165
TS = 1298166, TJ = 1256417
TS = 5324158, TJ = 2843423
TS = 32167428, TJ = 21342685
TS = 5317994, TJ = 1574141
TS = 36454373, TJ = 6850729
TS = 1754876, TJ = 1505176
TS = 1963061, TJ = 1705140
TS = 1263067, TJ = 1231220
TS = 5402512, TJ = 3310826
TS = 3958456, TJ = 1289307
TS = 1391891, TJ = 1331597
TS = 5105456, TJ = 2733326
TS = 36318283, TJ = 13450017
TS = 61032593, TJ = 19944597
TS = 5028862, TJ = 3444993
TS = 13213310, TJ = 634518
TS = 13131907, TJ = 1067845
TS = 13392939, TJ = 804226
TS = 1315132, TJ = 1270299
TS = 1410283, TJ = 1376121
TS = 8759906, TJ = 1013533
TS = 1324120, TJ = 1292813
TS = 8847929, TJ = 810336
TS = 7741387, TJ = 1906587
TS = 11679318, TJ = 923610
TS = 2199887, TJ = 2090350
TS = 74325008, TJ = 2164987
TS = 81722520, TJ = 9950380
TS = 81021099, TJ = 8397419
TS = 82044776, TJ = 9662371
TS = 2347133, TJ = 1860159
TS = 1360904, TJ = 1321532
TS = 2775210, TJ = 2122705
TS = 2249350, TJ = 1803040
TS = 1303872, TJ = 1272345
TS = 1407038, TJ = 1353494
TS = 351012038, TJ = 11767707
TS = 32799390, TJ = 10881847
TS = 2846779, TJ = 2191507
TS = 1828420, TJ = 1524921
TS = 2281838, TJ = 1844378
TS = 34374218, TJ = 8632377
TS = 1887600, TJ = 1607722
TS = 1302457, TJ = 1269151
TS = 1362285, TJ = 1328807
TS = 9111492, TJ = 8201998
TS = 2126465, TJ = 1269506
TS = 1340679, TJ = 1307220
TS = 1266454, TJ = 1231474
TS = 34250318, TJ = 6343045
TS = 3618283, TJ = 2634719
TS = 2011309, TJ = 622439
TS = 67238209, TJ = 49157868
TS = 67877027, TJ = 18754172
TS = 10764115, TJ = 1142995
TS = 9658159, TJ = 664544
TS = 10128814, TJ = 796212
TS = 11327858, TJ = 5009640
TS = 10865733, TJ = 984740
TS = 11530431, TJ = 1957731
TS = 10690914, TJ = 1515514
TS = 10243250, TJ = 1620115
TS = 9963369, TJ = 532460
TS = 11450369, TJ = 1920778
TS = 12668208, TJ = 1950237
TS = 14085917, TJ = 6494379
TS = 13535577, TJ = 701236
TS = 14300158, TJ = 1714919
TS = 2998871, TJ = 1875083
TS = 1711684, TJ = 1427600
TS = 1238707, TJ = 1205334
TS = 36675861, TJ = 7495059
TS = 77689224, TJ = 1309537
TS = 1513073, TJ = 1467591
TS = 3539381, TJ = 2417614
TS = 2066896, TJ = 1716299
TS = 1380474, TJ = 1346492
TS = 2192349, TJ = 1028179
TS = 1635930, TJ = 1604846
TS = 34818206, TJ = 6545073
